tconst,directors,writers
tt0246386,"nm0916285,nm0281058,nm0684915,nm0790494,nm0176686,nm0362738,nm0697828,nm0806642","nm0914844,nm0212988,nm0141514,nm1309169,nm0537462,nm0400408,nm2395803,nm2394107,nm0183325,nm0183524,nm1269084"
tt0246387,nm0477129,nm0035836
tt0246388,nm0345026,"nm0096740,nm0203202"
tt0246389,nm0022750,\N
tt0246393,\N,"nm11932348,nm11835803,nm12640553,nm12787857,nm12787856,nm5757387,nm5719707,nm12640554,nm11029247,nm2222280,nm12640552,nm11907694"
tt0246394,nm0652200,"nm1163245,nm1527093,nm1166975,nm1371927"
tt0246395,"nm0427237,nm0128267,nm6084248,nm0762323",nm0236655
tt0246397,nm0818639,"nm1000115,nm1559032,nm0878935"
tt0246398,"nm0131258,nm0042768,nm0181884,nm0537354","nm0100188,nm0518353,nm0763644"
tt0246400,nm0701691,"nm2912304,nm11562287,nm12461952"
tt0246401,nm0739477,nm7106350
tt0246402,nm1279384,"nm1075980,nm1227456,nm0288449,nm4913714,nm2301714,nm1106501,nm1720904"
tt0246403,nm0605701,\N
tt0246404,nm0681553,nm0681553
tt0246405,nm0246159,"nm0246159,nm0476993"
tt0246406,nm0571959,nm0571959
tt0246407,nm0619694,\N
tt0246409,nm0591472,nm0591472
tt0246411,nm11180382,"nm0609652,nm0351824"
tt0246412,nm0765873,nm0619760
tt0246413,nm0849195,"nm0659760,nm1575792"
tt0246414,nm0619162,nm0619162
tt0246416,nm0958778,\N
tt0246417,nm0003495,\N
tt0246420,nm0759662,"nm0436804,nm1213496,nm0707410,nm1110725,nm0759662"
tt0246421,nm0968730,nm0131355
tt0246422,nm0890862,"nm0766463,nm0890862"
tt0246424,nm0025534,"nm1494150,nm1476011"
tt0246425,nm0704289,"nm0498080,nm0498066"
tt0246426,nm0427275,nm1012016
tt0246427,nm0453993,\N
tt0246428,"nm0634779,nm6552422,nm13977025,nm11865514",\N
tt0246429,nm0632627,"nm0270734,nm0632627"
tt0246430,nm0233920,"nm0254945,nm0612199"
tt0246431,nm0529591,nm0529591
tt0246432,nm0765873,nm0619760
tt0246433,nm0695162,nm0756393
tt0246436,nm0413466,nm0413466
tt0246438,"nm0415714,nm0001709",nm0117525
tt0246440,"nm0445056,nm0472894","nm0445056,nm0472894"
tt0246442,nm0483237,\N
tt0246443,nm0451169,\N
tt0246444,nm0411200,nm0411200
tt0246445,\N,\N
tt0246446,nm0312768,nm0312768
tt0246447,nm0620788,nm0620788
tt0246449,nm0620788,nm0620788
tt0246451,nm0619760,nm0619760
tt0246452,nm0157828,"nm0157828,nm0007028"
tt0246455,"nm1032640,nm0572513",\N
tt0246456,nm0765166,nm0765166
tt0246457,nm0412963,\N
tt0246459,nm0001631,nm0001631
tt0246460,nm0848414,"nm0001220,nm0701031,nm0905498"
tt0246462,nm0695264,"nm0474777,nm0695264,nm0004417"
tt0246463,\N,\N
tt0246464,nm0001756,"nm0057970,nm0709070,nm0832043"
tt0246465,nm0160545,nm0160545
tt0246469,nm0110133,nm0110133
tt0246473,nm0924920,\N
tt0246474,nm0734931,"nm0174789,nm0317319,nm0566745,nm0595655,nm0823523,nm0926171"
tt0246475,nm0169088,\N
tt0246477,nm0307559,"nm0853256,nm0856825"
tt0246479,nm0596850,"nm0416556,nm0596850"
tt0246480,nm0488889,\N
tt0246482,nm0491048,"nm0491048,nm0663613,nm0906080"
tt0246483,nm5370809,\N
tt0246484,nm0667790,nm0304283
tt0246485,nm0619694,\N
tt0246490,nm0160280,nm0174688
tt0246491,\N,\N
tt0246492,nm0755420,"nm1785769,nm0729815"
tt0246493,nm0109279,"nm1129275,nm0729815"
