tconst,averagerating,numvotes
tt0386108,4.9,387
tt0386112,5.6,31
tt0386113,7.0,25
tt0386115,7.1,12
tt0386117,6.7,107237
tt0386118,5.5,33
tt0386120,9.0,34
tt0386121,6.8,38
tt0386122,5.3,41
tt0386123,8.4,1170
tt0386124,8.4,1274
tt0386126,6.3,266
tt0386129,8.7,98
tt0386130,6.6,511
tt0386132,7.0,28
tt0386134,1.1,120
tt0386137,7.6,17
tt0386139,5.6,192
tt0386140,5.9,105493
tt0386141,5.8,24
tt0386142,6.2,8
tt0386144,5.8,8
tt0386149,8.1,1016
tt0386152,7.0,25
tt0386154,5.6,11
tt0386155,7.4,5
tt0386156,7.7,933
tt0386159,7.3,19
tt0386161,8.0,58
tt0386163,5.9,8
tt0386164,5.8,30
tt0386165,8.1,49
tt0386167,8.5,10
tt0386169,8.2,18
tt0386170,6.8,13
tt0386175,8.2,14
tt0386176,7.0,3384
tt0386178,8.0,46
tt0386179,7.8,10
tt0386180,7.1,21058
tt0386181,7.3,22
tt0386182,5.5,23
tt0386187,7.9,137
tt0386192,4.2,11
tt0386193,4.7,20
tt0386194,2.2,14
tt0386198,7.1,11
tt0386200,8.2,26
tt0386207,8.2,70
tt0386208,7.0,158
tt0386212,3.3,15
tt0386213,7.2,7
tt0386215,8.7,101
tt0386218,8.4,12
tt0386220,8.8,8
tt0386221,7.9,152
tt0386224,8.5,2234
tt0386227,4.5,65
tt0386233,6.3,723
tt0386235,2.9,20
tt0386238,7.8,6
tt0386241,6.9,76
tt0386244,6.6,32
tt0386245,8.5,205
tt0386246,5.6,24
tt0386248,4.6,10
tt0386252,4.0,22
tt0386255,8.7,25
tt0386259,7.5,7
tt0386261,6.9,21
tt0386263,6.0,80
tt0386264,5.3,26
tt0386265,8.0,29
tt0386266,7.0,57
tt0386269,6.7,8
tt0386270,3.7,197
tt0386273,7.3,43
tt0386275,3.7,39
tt0386276,5.3,17
tt0386281,7.8,10
tt0386282,4.7,84
tt0386283,8.3,161
tt0386284,5.7,120
tt0386285,6.7,23
tt0386286,8.2,93
tt0386293,6.3,48
tt0386301,7.0,21
tt0386307,6.6,6
tt0386309,9.2,7
tt0386310,8.6,16
tt0386312,7.2,13
tt0386313,8.6,243
tt0386315,6.2,23
tt0386319,5.9,19
tt0386320,6.1,93
tt0386325,7.2,71
tt0386327,5.5,719
tt0386331,5.5,21
tt0386334,5.0,18
tt0386342,7.5,11536
tt0386344,3.5,29
tt0386345,5.7,40
tt0386346,7.0,74
tt0386349,6.2,25
tt0386350,4.6,10
tt0386351,7.4,20
tt0386352,3.1,151
tt0386358,8.4,8
tt0386359,9.0,9
tt0386360,8.7,13
tt0386362,4.8,9
tt0386374,7.4,12
tt0386377,8.9,27
tt0386378,3.3,39
tt0386379,2.6,32
tt0386381,7.8,13
tt0386382,8.7,16
tt0386384,8.2,916
tt0386385,6.2,10
tt0386387,8.9,9
tt0386388,5.7,82
tt0386395,7.6,123
tt0386396,8.8,5
tt0386398,5.5,18
tt0386406,8.5,13
tt0386407,8.0,15
tt0386409,5.9,106
tt0386410,4.7,10
tt0386412,6.3,20
tt0386415,7.1,46
tt0386421,5.8,341
tt0386422,7.0,570
tt0386423,7.3,1002
tt0386425,8.7,26
tt0386427,7.1,15
tt0386428,6.7,1715
tt0386433,7.6,15
tt0386438,7.6,465
tt0386453,7.9,13
tt0386464,6.4,574
tt0386465,7.4,19
tt0386467,6.1,16
tt0386470,8.0,86
tt0386471,6.7,11
tt0386474,7.3,57
tt0386475,5.1,31
tt0386478,5.6,86
tt0386479,5.9,19
tt0386484,8.7,13
tt0386486,4.2,78
tt0386487,7.2,26
tt0386489,6.1,7
tt0386493,4.9,17
tt0386494,6.9,115
tt0386497,8.2,23
tt0386498,7.0,26
tt0386499,4.5,136
tt0386503,1.7,6
tt0386504,5.7,6807
tt0386506,7.3,21
tt0386508,2.0,15
tt0386509,7.2,20
tt0386510,7.1,14
tt0386511,6.4,26
tt0386513,7.0,18
tt0386514,7.0,38
tt0386516,7.2,21
tt0386517,8.9,10
tt0386519,8.6,11
tt0386520,7.8,17
tt0386526,5.6,7
tt0386528,3.9,33
tt0386534,5.4,522
tt0386535,5.3,18
tt0386539,8.6,16
tt0386542,7.2,69
tt0386543,4.6,7
tt0386544,6.5,91
tt0386548,8.7,53
tt0386550,8.8,19
tt0386551,3.5,10
tt0386553,7.2,14
tt0386556,6.8,86
tt0386557,4.8,66
tt0386558,6.9,23
tt0386561,4.2,58
tt0386562,8.1,45
tt0386563,7.6,16
tt0386564,5.2,20
tt0386565,5.4,156
tt0386566,5.1,13
tt0386567,5.5,9
tt0386569,6.6,18
tt0386570,8.0,33
tt0386571,8.6,7
tt0386573,7.4,16
tt0386576,7.0,199
tt0386581,6.8,126
tt0386582,6.8,836
tt0386583,7.5,25
tt0386588,6.6,327777
tt0386589,5.0,32
tt0386590,5.4,246
tt0386597,7.8,29
tt0386600,7.8,19
tt0386601,7.9,12
tt0386603,6.8,869
tt0386605,4.5,15
tt0386606,6.5,22
tt0386607,4.3,167
tt0386610,7.3,18
tt0386611,5.4,124
tt0386613,8.4,9
tt0386616,8.2,2494
tt0386620,6.4,685
tt0386622,7.7,11
tt0386630,7.9,37
tt0386631,5.0,8
tt0386649,3.5,484
tt0386650,7.7,2330
tt0386651,7.6,5320
tt0386653,5.3,46
tt0386655,9.4,5
tt0386661,7.7,13
tt0386664,6.7,13
tt0386668,7.2,27
tt0386669,5.3,1334
tt0386672,7.4,57
tt0386673,7.9,183
tt0386675,7.5,15
tt0386676,9.0,661293
tt0386677,7.4,38
tt0386678,6.6,10
tt0386691,8.2,22
tt0386693,6.7,167
tt0386695,4.6,2544
tt0386696,4.4,72
tt0386703,9.0,79
tt0386704,6.7,20
tt0386706,8.2,6
tt0386708,5.5,290
tt0386710,6.5,21
tt0386711,7.0,26
tt0386712,6.2,34
tt0386713,3.7,385
tt0386716,7.3,10
tt0386718,2.4,27
tt0386720,6.6,23
tt0386721,4.3,16
tt0386726,5.0,32
tt0386727,4.6,21
tt0386733,5.9,78
tt0386735,6.4,9
tt0386737,7.0,122
tt0386739,4.2,24
tt0386740,5.4,184
tt0386741,6.6,16302
tt0386742,6.8,12
tt0386744,7.9,43
tt0386749,7.8,35
tt0386751,5.7,3809
tt0386752,7.1,263
tt0386754,7.5,28
tt0386755,5.1,29
tt0386757,4.3,255
tt0386759,8.8,7
tt0386768,5.8,25
tt0386776,6.4,13
tt0386777,6.2,13
tt0386783,3.7,50
tt0386784,6.8,48
tt0386788,7.8,2963
tt0386789,8.3,2843
tt0386792,8.1,14404
tt0386793,6.6,45
tt0386795,6.6,60
tt0386799,7.6,285
tt0386801,6.6,95
tt0386802,5.3,540
tt0386804,8.0,7
tt0386807,3.8,18
tt0386808,4.9,21
tt0386814,6.9,20
tt0386815,6.1,77
tt0386817,7.2,9
tt0386820,7.1,11372
tt0386822,6.6,13
tt0386823,7.7,32
tt0386824,7.5,13
tt0386825,5.1,10
tt0386829,6.0,7
tt0386830,6.7,11
tt0386831,7.8,74
tt0386832,6.7,12
tt0386835,4.9,164
tt0386836,6.5,78
tt0386841,7.0,14
tt0386842,8.4,34
tt0386843,5.8,633
tt0386844,8.6,15
tt0386846,2.4,264
tt0386850,6.6,539
tt0386852,8.1,20
tt0386858,5.1,422
tt0386859,8.0,5
tt0386860,6.3,13
tt0386861,9.3,14
tt0386862,7.2,1817
tt0386863,5.1,56
tt0386866,8.0,201
tt0386867,8.6,142
tt0386868,5.5,8
tt0386869,5.9,21
tt0386870,5.0,10
tt0386886,7.4,14
tt0386888,5.7,17
tt0386889,5.5,15
tt0386892,5.2,9
tt0386896,3.0,8
tt0386897,4.8,13
tt0386898,8.2,57
tt0386901,4.6,16
tt0386903,8.4,11
tt0386904,2.3,8
tt0386907,6.6,2731
tt0386908,5.6,143
tt0386909,5.1,18
tt0386910,6.2,21
tt0386913,7.8,146
tt0386917,7.3,653
tt0386918,5.7,17
tt0386922,8.5,16
tt0386925,7.9,20
tt0386929,5.9,433
tt0386934,6.2,7
tt0386935,8.4,64
tt0386939,4.9,39
tt0386940,6.8,60
tt0386941,8.1,21
tt0386942,6.7,31
tt0386943,6.2,38
tt0386944,7.0,51
tt0386946,2.6,496
tt0386947,7.0,13
tt0386950,8.8,5494
tt0386951,6.2,20
tt0386952,7.1,26
tt0386954,8.1,34
tt0386955,7.7,835
tt0386959,6.4,176
tt0386962,6.7,27
tt0386964,2.3,8
tt0386966,7.7,82
tt0386968,4.6,16
tt0386970,6.1,9
tt0386973,5.3,9
tt0386974,5.8,18
tt0386975,6.3,538
tt0386977,7.1,246
tt0386978,6.4,32
tt0386980,6.4,74
tt0386986,7.0,2983
tt0386987,7.0,93
tt0386988,8.4,48
tt0386989,8.0,157
tt0386992,6.4,90
tt0386993,7.4,7682
tt0386995,4.3,14
tt0386998,6.7,125
tt0387000,7.6,10
tt0387001,4.5,15
tt0387002,8.2,14
tt0387004,6.9,21
tt0387005,7.7,157
tt0387006,6.8,33
tt0387007,8.0,7
tt0387008,7.2,121
tt0387009,8.2,8
tt0387010,6.2,8
tt0387011,8.2,36
tt0387012,6.8,31
tt0387015,5.5,394
tt0387018,8.0,6
tt0387021,7.9,148
tt0387023,8.5,15
tt0387025,5.7,42
tt0387026,3.4,13
tt0387027,7.4,12
tt0387030,5.5,6
tt0387032,5.1,35
tt0387036,5.5,10
tt0387037,6.7,1792
tt0387044,8.1,21
tt0387050,4.7,16
tt0387054,8.4,10
tt0387055,5.5,6541
tt0387056,8.2,670
tt0387057,7.1,707
tt0387058,8.2,49
tt0387059,5.5,7079
tt0387063,7.3,27
tt0387064,4.1,38
tt0387072,5.5,84
tt0387073,5.3,8
tt0387074,8.8,99
tt0387075,1.9,233
tt0387076,6.7,67
tt0387077,6.8,11
tt0387081,8.3,24
tt0387082,7.5,496
tt0387083,7.5,97
tt0387084,5.8,116
tt0387096,5.9,139
tt0387097,6.4,6
tt0387098,9.0,5
tt0387103,5.9,11
tt0387104,6.6,75
tt0387107,6.6,15
tt0387108,4.9,20
tt0387109,6.4,15
tt0387112,8.0,14
tt0387113,8.0,20
tt0387114,5.1,396
tt0387117,6.0,1065
tt0387118,7.3,17
tt0387120,4.4,36
tt0387121,5.8,9
tt0387125,6.1,21
tt0387126,3.9,1006
tt0387128,6.2,5
tt0387129,6.5,28
tt0387131,7.4,146344
tt0387133,7.8,453
tt0387134,8.4,7
tt0387151,6.6,1661
tt0387154,7.7,71
tt0387155,4.6,231
tt0387156,7.4,27
tt0387158,6.8,13
tt0387159,6.8,23
tt0387160,3.0,225
tt0387162,3.8,259
tt0387164,7.5,273
tt0387166,8.4,7
tt0387167,6.6,8
tt0387168,8.2,19
tt0387170,6.5,42
tt0387174,4.6,9
